route_number,start,destination
315B,Kempegowda bus stand (KBS) or Majestic,A Narayanapura, KG road, Richmond road
212D, Kempegowda bus stand (KBS) or Majestic,	 Agara, Banashankari, Sarakki, Konanankunte, 
359A, Kempegowda bus stand (KBS) or Majestic,	Adigondanahalli, Bommanahalli
364F	, Kempegowda bus stand (KBS) or Majestic,	Arekere, Jayadeva, Bannerghatta road
271A	, Kempegowda bus stand (KBS) or Majestic,	Abbigere, Central, Malleshwaram, Tata Institute
165C	, Kempegowda bus stand (KBS) or Majestic,	Adugodi, Hosur road, Wilson Garden, KH road
165E	, Kempegowda bus stand (KBS) or Majestic,	Adugodi Police Quarters
369F	, Kempegowda bus stand (KBS) or Majestic,	AECS Dental College
333B	, Kempegowda bus stand (KBS) or Majestic,	AECS Layout, Richmond Road
348 F,E	, Kempegowda bus stand (KBS) or Majestic,	Agara, KG road, JC road, Lalbagh main gate, Dairy circle
333J	, Kempegowda bus stand (KBS) or Majestic,	Airport, Richmond, Mayohall, Rajeshwari
290D	, Kempegowda bus stand (KBS) or Majestic,	Ambedkar College, KG road, Cantonment Railway Station
333K	, Kempegowda bus stand (KBS) or Majestic,	Ambedkar Nagar, Richmond road, MG road
319J	, Kempegowda bus stand (KBS) or Majestic,	Do
115	, Kempegowda bus stand (KBS) or Majestic,	Ananda Nagar, RT Nagar, Matadahalli, KG road
356D	, Kempegowda bus stand (KBS) or Majestic,	Anantha Nagar, JC road, St. Johns, Dairy circle, Jayadeva
402F	, Kempegowda bus stand (KBS) or Majestic,	Ananthapura, Anandarao circle, Shivananda
263F	, Kempegowda bus stand (KBS) or Majestic,	Andrahalli, Central, Malleshwaram, Tata Institute
215N	, Kempegowda bus stand (KBS) or Majestic,	Anjanapura, KG road, NR road, HB Samaja
240B	, Kempegowda bus stand (KBS) or Majestic,	Annpoorneshwari Nagar, Magadi road
246	, Kempegowda bus stand (KBS) or Majestic,	Annpoorneshwari Nagar, Magadi road
290P	, Kempegowda bus stand (KBS) or Majestic,	Arabic College, KG road, Vidhanasoudha
360B,K	, Kempegowda bus stand (KBS) or Majestic,	Attibele, JC road, Lalbagh main gate, Dairy
402C	, Kempegowda bus stand (KBS) or Majestic,	Attur, Anandaroa circle, Shivananda, Bellery road
36A	, Kempegowda bus stand (KBS) or Majestic,	Avalahalli BDA park, NR road, KG road
245K	, Kempegowda bus stand (KBS) or Majestic,	Averahalli, Magadi road, Prasanna, Dasarahalli
334C	, Kempegowda bus stand (KBS) or Majestic,	B Nagasandra, KG road, Airport road, Mayohall
302A	, Kempegowda bus stand (KBS) or Majestic,	Babasab Palya, KG road, Vidhanasoudha
250C	, Kempegowda bus stand (KBS) or Majestic,	Bagalagunte, Central, malleshwaram, Yeshwanthpur
323K	, Kempegowda bus stand (KBS) or Majestic,	Bagalagunte, Central, malleshwaram, Yeshwanthpur
210X	, Kempegowda bus stand (KBS) or Majestic,	Bendre Nagar, ISRO layout
365	, Kempegowda bus stand (KBS) or Majestic,	Bannerghatta, Arehere, Gottigere
250H	, Kempegowda bus stand (KBS) or Majestic,	BonMill, Jalahalli cross, Dasarahalli
225G	, Kempegowda bus stand (KBS) or Majestic,	Bangarappa Nagar, Mysore road
226N	, Kempegowda bus stand (KBS) or Majestic,	Bidadi, Kengeri, Kumbalagodu
322A	, Kempegowda bus stand (KBS) or Majestic,	Byalahalli, MG road
296B	, Kempegowda bus stand (KBS) or Majestic,	Brindavan Nagar
25C	, Kempegowda bus stand (KBS) or Majestic,	Balaji Nagar, Carmel Convent
300B	, Kempegowda bus stand (KBS) or Majestic,	Banasawadi, KG road, Vidhana Soudha
12A	, Kempegowda bus stand (KBS) or Majestic,	Banashankari 2nd Stage
43E	, Kempegowda bus stand (KBS) or Majestic,	Banashankari 3rd Stage 2ph
12, E	, Kempegowda bus stand (KBS) or Majestic,	Banashankari Bus Stand
239C	, Kempegowda bus stand (KBS) or Majestic,	Bangalore Children's Hospital, Magadi road
57A	, Kempegowda bus stand (KBS) or Majestic,	Bapuji Nagar, Mysore road, Ram Mandir
314N	, Kempegowda bus stand (KBS) or Majestic,	Basava Nagar, Mayohall, Ulsoor, CMH road
314T	, Kempegowda bus stand (KBS) or Majestic,	Basava Nagar, Mayohall, Ulsoor, CMH road
333C	, Kempegowda bus stand (KBS) or Majestic,	Basava Nagar, Mayohall, Airport Road
88	, Kempegowda bus stand (KBS) or Majestic,	Basaveshwara Nagar, Sujatha, Ram Mandir
88A	, Kempegowda bus stand (KBS) or Majestic,	Basaveshwara Nagar 3rd Stage, Sujatha,
61C	, Kempegowda bus stand (KBS) or Majestic,	BCC layout, Vijay nagar, RNR 6th Block, Sujatha
221G	, Kempegowda bus stand (KBS) or Majestic,	Bedi Karmikara Badavane
215E	, Kempegowda bus stand (KBS) or Majestic,	Bireshwara Nagar, KG Road, Lalbagh road
88	, Kempegowda bus stand (KBS) or Majestic,	Begur, Ananda rao circle, Shivananda
88A	, Kempegowda bus stand (KBS) or Majestic,	Begur, Lalbagh road, St. Johns, Hosur
61C	, Kempegowda bus stand (KBS) or Majestic,	Bellandur, KG road, Lalbagh road, St. Johns, Hosur
221G	, Kempegowda bus stand (KBS) or Majestic,	Bellikere, Richmond road, Mayohall, Airport road
215E	, Kempegowda bus stand (KBS) or Majestic,	BEML 5th Phase, Goodshed, Royan circle
281F	, Kempegowda bus stand (KBS) or Majestic,	BEML 5th Phase, Goodshed, Royan circle
343E	, Kempegowda bus stand (KBS) or Majestic,	Bendiganahalli, KG road, Richmond road
341D	, Kempegowda bus stand (KBS) or Majestic,	Barath nagar 2nd stage, Magadi road
329H	, Kempegowda bus stand (KBS) or Majestic,	Bhimjyoti Nagar, Modi Hospital, Central
225C	, Kempegowda bus stand (KBS) or Majestic,	Bhoopasandra, ananda roa circle, Shivananda
225H	, Kempegowda bus stand (KBS) or Majestic,	Bhuvaneshwari Nagar, Hosakerhalli cross
380M	, Kempegowda bus stand (KBS) or Majestic,	Basikpura, KG road, NR road, HB samaja, MM Ind
241D	, Kempegowda bus stand (KBS) or Majestic,	Barath nagar 2nd stage, Magadi road
96F	, Kempegowda bus stand (KBS) or Majestic,	Bhimjyoti Nagar, Modi Hospital, Central
279E	, Kempegowda bus stand (KBS) or Majestic,	Bhoopasandra, ananda roa circle, Shivananda
45B, Η	, Kempegowda bus stand (KBS) or Majestic,	Bhuvaneshwari Nagar, Hosakerhalli cross
210R	, Kempegowda bus stand (KBS) or Majestic,	Basikpura, KG road, NR road, HB samaja, MM Ind
365D	, Kempegowda bus stand (KBS) or Majestic,	Bilavaradahalli, KG road, Mission road, Dairy
294	, Kempegowda bus stand (KBS) or Majestic,	Bilesevale, KG road, Vidhana soudha, Cant Railway Station
294E	, Kempegowda bus stand (KBS) or Majestic,	Bilesevale, KG road, Vidhana soudha, Cant Railway Station
305P	, Kempegowda bus stand (KBS) or Majestic,	Bommana bande, KG road, Richmond road
316B,K	, Kempegowda bus stand (KBS) or Majestic,	Boodigere, KG road, Richmond road, Mayohall
49	, Kempegowda bus stand (KBS) or Majestic,	Brindavannagar, Vittal Nagar, Ram Mandir
252G	, Kempegowda bus stand (KBS) or Majestic,	Byadarahalli, Central, Malleshwaram, Tata Inst
26	, Kempegowda bus stand (KBS) or Majestic,	Byrasandra, Ashoka Piller, Siddapura
314g	, Kempegowda bus stand (KBS) or Majestic,	Byrasandra, Richmond road, Mayohall
347F	, Kempegowda bus stand (KBS) or Majestic,	Central jail, JC road, Lalbagh, Dairy
61A,G	, Kempegowda bus stand (KBS) or Majestic,	Chandra layout, Incometax layout
61J	, Kempegowda bus stand (KBS) or Majestic,	Chandra Layout 1st Stage, Chandra layout
210X	, Kempegowda bus stand (KBS) or Majestic,	Chandra Nagar, KG road, NR road, HB samaja
305D	, Kempegowda bus stand (KBS) or Majestic,	Channasandra, KG road, Richmond road, Mayohall
316F	, Kempegowda bus stand (KBS) or Majestic,	Cheemasandra, KG road, Richmond road, Mayohall
45E,F	, Kempegowda bus stand (KBS) or Majestic,	Chennannanakare Achukattu
365K	, Kempegowda bus stand (KBS) or Majestic,	Chennannanakare Achukattu
250P	, Kempegowda bus stand (KBS) or Majestic,	Chikka Banavara, Central, Malleshwaram
284F	, Kempegowda bus stand (KBS) or Majestic,	Chikka Bommasandra, Anandrao circle
239G	, Kempegowda bus stand (KBS) or Majestic,	Chikka kammanahalli, KG road, Mission road
210J,M	, Kempegowda bus stand (KBS) or Majestic,	Chikkalasandra, KG road, NR road, HB Samaja
210P	, Kempegowda bus stand (KBS) or Majestic,	Chikkalasandra, KG road, NR road, HB Samaja
119A	, Kempegowda bus stand (KBS) or Majestic,	Chinnapa garden, KG road, Tel Exchange
124	, Kempegowda bus stand (KBS) or Majestic,	Chinnapa garden, CQAL, Borebank R
333D	, Kempegowda bus stand (KBS) or Majestic,	Chinnappanahalli, KG road, Richmond road
287E	, Kempegowda bus stand (KBS) or Majestic,	Chola Nayakanahalli, Anandrao circle
99E	, Kempegowda bus stand (KBS) or Majestic,	Chowdeshwari/JP nagar bus station
293H	, Kempegowda bus stand (KBS) or Majestic,	Dasanayakanahalli, Cantonment Railway station
306D	, Kempegowda bus stand (KBS) or Majestic,	Devanagundi, KG road, Richmond road, Mayohall
298M	, Kempegowda bus stand (KBS) or Majestic,	Devanahalli, Anandrao circle, Shivananda
364B	, Kempegowda bus stand (KBS) or Majestic,	Devara Chikkanahalli, KG road, JC road
315Q	, Kempegowda bus stand (KBS) or Majestic,	Devasandra, KG road, Richmond road, Mayohall
365Q	, Kempegowda bus stand (KBS) or Majestic,	Devasandra, KG road, Mission road, KH road, Dairy
235B	, Kempegowda bus stand (KBS) or Majestic,	Dodda Basthi, ORR, Nagarbhavi circle
263H	, Kempegowda bus stand (KBS) or Majestic,	Dodda DoddaBidarakal, Central, Malleshwaram
295A	, Kempegowda bus stand (KBS) or Majestic,	Dodda Gubbi, NR road, KG road, Vidhana Soudha
333F	, Kempegowda bus stand (KBS) or Majestic,	Dodda Nekkundi, KG road, Richmond road
346N	, Kempegowda bus stand (KBS) or Majestic,	Dodda Toogur, KG road, JC road, Dairy
285M	, Kempegowda bus stand (KBS) or Majestic,	Doddaballapura, Anandarao circle
131F	, Kempegowda bus stand (KBS) or Majestic,	Domlur bus station, 100 ft road Indiranagar, Ulsoor
131	, Kempegowda bus stand (KBS) or Majestic,	Domlur bus station, 100 ft road Indiranagar, Ulsoor
314E	, Kempegowda bus stand (KBS) or Majestic,	DRDO Township, KG road
KSRTC	, Kempegowda bus stand (KBS) or Majestic,	Doddaballapura
KSRTC	, Kempegowda bus stand (KBS) or Majestic,	Devanahalli
215D	, Kempegowda bus stand (KBS) or Majestic,	Eshwara layout, KG road, lalbagh road
146E,B	, Kempegowda bus stand (KBS) or Majestic,	Ejipura, Vannerpet, Austin Town, Philomina
356C	, Kempegowda bus stand (KBS) or Majestic,	Electronic City, KG road, lalbagh road
2B	, Kempegowda bus stand (KBS) or Majestic,	Eliyas Nagar, JP nagar 15th Cross, SSMRV, Tel Exchange
80G	, Kempegowda bus stand (KBS) or Majestic,	Freedom Fighters colony
165B	, Kempegowda bus stand (KBS) or Majestic,	Gajendra Nagar, Hosur road
320B	, Kempegowda bus stand (KBS) or Majestic,	Gandhi Pura, KH road, Richmond road, mayohall
30C	, Kempegowda bus stand (KBS) or Majestic,	Ganga Nagar, KG road, Tel exchange, Carmel college
108B	, Kempegowda bus stand (KBS) or Majestic,	Ganga Nagar, KG road, Tel exchange, Carmel college
59D	, Kempegowda bus stand (KBS) or Majestic,	Gangondanahalli
89B	, Kempegowda bus stand (KBS) or Majestic,	Gangondanahalli
87D	, Kempegowda bus stand (KBS) or Majestic,	Gangondanahalli
263G	, Kempegowda bus stand (KBS) or Majestic,	Gangondanahalli, Central, Malleshwaram
89B	, Kempegowda bus stand (KBS) or Majestic,	Geleyarabalaga, Nandini Talkies, Rajajinagar ESI
250S	, Kempegowda bus stand (KBS) or Majestic,	Geleyarabalaga, Central, Malleshwaram
243F	, Kempegowda bus stand (KBS) or Majestic,	Gidadakonahalli, Magadi
365N	, Kempegowda bus stand (KBS) or Majestic,	Giddenahalli, KG road, Mission road, KH road
36B	, Kempegowda bus stand (KBS) or Majestic,	Giri nagar 2nd Stage, Giri Nagar
36E	, Kempegowda bus stand (KBS) or Majestic,	Giri Nagar circle, Muneshwara Blk
