                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6502,                 4.3466,                 4.2978,                0.00374,                 0.2619,                0.00477,                 0.0022,                 3.7488,                 4.3735,                 4.1588,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 3.6146,                 4.3659,                 4.2664,                0.00402,                0.28571,                0.00651,                0.00249,                 3.7492,                 4.3744,                 4.1588,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                 3.6901,                  4.304,                 4.2566,                0.00389,                0.28571,                 0.0093,                0.00315,                 3.7494,                 4.3743,                 4.1586,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 3.6515,                 4.3296,                 4.2501,                0.00399,                0.28571,                0.01126,                0.00398,                 3.7494,                 4.3741,                 4.1583,             0.00012933,             0.00012933,             0.00012933
                      5,                 3.5686,                 4.2694,                 4.2221,                0.00361,                 0.2619,                0.00823,                0.00344,                  3.749,                 4.3738,                 4.1579,             0.00016114,             0.00016114,             0.00016114
                      6,                 3.7633,                 4.1921,                 4.1849,                0.00382,                0.28571,                0.01869,                0.00596,                 3.7482,                  4.373,                 4.1575,             0.00019146,             0.00019146,             0.00019146
                      7,                 3.6823,                  4.237,                 4.2026,                0.00381,                0.28571,                0.02359,                0.00684,                 3.7468,                 4.3721,                  4.157,              0.0002203,              0.0002203,              0.0002203
                      8,                 3.5314,                 4.1807,                 4.1792,                0.00408,                0.30952,                0.02334,                0.00591,                 3.7459,                 4.3715,                 4.1568,             0.00024765,             0.00024765,             0.00024765
                      9,                 3.5457,                 4.1236,                 4.1892,                0.00345,                 0.2619,                0.01332,                0.00411,                 3.7444,                 4.3704,                  4.156,             0.00027352,             0.00027352,             0.00027352
                     10,                  3.632,                 4.1716,                 4.1956,                0.00407,                0.30952,                0.02322,                0.00548,                 3.7431,                 4.3686,                 4.1552,              0.0002979,              0.0002979,              0.0002979
                     11,                  3.657,                 4.1444,                 4.1774,                0.00346,                 0.2619,                0.01653,                0.00457,                 3.7404,                 4.3655,                 4.1534,              0.0003208,              0.0003208,              0.0003208
                     12,                 3.7127,                 4.0907,                 4.1509,                0.00408,                0.30952,                0.01995,                0.00524,                 3.7388,                  4.364,                 4.1523,             0.00034221,             0.00034221,             0.00034221
                     13,                 3.7987,                 4.2152,                 4.1633,                0.00409,                0.30952,                0.02297,                0.00568,                 3.7357,                  4.361,                 4.1504,             0.00036214,             0.00036214,             0.00036214
                     14,                 3.4179,                 3.9326,                 4.1455,                0.00378,                0.28571,                0.01972,                0.00522,                  3.735,                 4.3579,                 4.1494,             0.00038058,             0.00038058,             0.00038058
                     15,                 3.6103,                 4.0343,                  4.145,                0.00382,                0.28571,                0.01387,                0.00459,                  3.734,                 4.3485,                 4.1473,             0.00039754,             0.00039754,             0.00039754
                     16,                 3.6132,                  3.903,                 4.1269,                0.00376,                0.28571,                0.01361,                0.00486,                 3.7346,                  4.341,                 4.1462,             0.00041301,             0.00041301,             0.00041301
                     17,                 3.4313,                 3.9787,                 4.1105,                0.00334,                 0.2619,                0.11255,                0.03133,                 3.7311,                 4.3196,                 4.1411,               0.000427,               0.000427,               0.000427
                     18,                  3.518,                 3.9516,                  4.118,                0.00369,                0.28571,                0.09853,                0.02969,                 3.7286,                 4.3131,                 4.1388,              0.0004395,              0.0004395,              0.0004395
                     19,                 3.3971,                 3.8409,                 4.0735,                0.00367,                0.28571,                0.09382,                0.02829,                 3.7211,                 4.3043,                 4.1323,             0.00045052,             0.00045052,             0.00045052
                     20,                 3.5203,                  3.843,                 4.0597,                 0.0038,                0.28571,                0.02809,                0.01021,                 3.7154,                  4.303,                 4.1267,             0.00046005,             0.00046005,             0.00046005
                     21,                 3.4383,                 3.8457,                 4.0293,                0.00372,                0.28571,                0.02038,                0.00513,                 3.7115,                  4.311,                  4.124,              0.0004681,              0.0004681,              0.0004681
                     22,                 3.5511,                 3.7422,                 4.0242,                0.00345,                 0.2619,                0.02471,                0.00558,                 3.7085,                  4.328,                 4.1262,             0.00047466,             0.00047466,             0.00047466
                     23,                 3.4731,                 3.7869,                 4.0414,                0.00375,                0.28571,                0.01528,                0.00441,                 3.7037,                 4.3182,                  4.121,             0.00047974,             0.00047974,             0.00047974
                     24,                 3.5449,                  3.758,                 3.9863,                0.00374,                0.28571,                0.01204,                0.00415,                 3.7002,                  4.288,                 4.1132,             0.00048333,             0.00048333,             0.00048333
                     25,                 3.4234,                  3.703,                 3.9576,                0.00406,                0.30952,                0.01536,                0.00489,                 3.6924,                 4.2512,                 4.1078,             0.00048544,             0.00048544,             0.00048544
                     26,                 3.4834,                 3.7313,                 3.9815,                0.00372,                0.28571,                0.01572,                0.00554,                 3.7159,                  4.167,                 4.0918,             0.00048606,             0.00048606,             0.00048606
                     27,                 3.5313,                  3.858,                 3.9754,                0.00372,                0.28571,                0.01524,                0.00514,                 3.7117,                 4.1617,                 4.0948,              0.0004852,              0.0004852,              0.0004852
                     28,                 3.5129,                 3.6597,                  3.934,                0.00371,                0.28571,                0.01395,                 0.0051,                 3.6758,                 4.2053,                 4.1101,             0.00048285,             0.00048285,             0.00048285
                     29,                 3.4602,                 3.7606,                 3.9074,                0.00371,                0.28571,                0.01395,                 0.0051,                 3.6758,                 4.2053,                 4.1101,             0.00047902,             0.00047902,             0.00047902
                     30,                  3.409,                 3.6866,                 3.8702,                0.00367,                0.28571,                0.01532,                 0.0052,                  3.679,                 4.1828,                 4.0994,              0.0004737,              0.0004737,              0.0004737
                     31,                 3.4765,                  3.657,                 3.9183,                0.00347,                0.28571,                0.01433,                0.00488,                 3.7243,                 4.1381,                 4.0774,              0.0004669,              0.0004669,              0.0004669
                     32,                 3.3146,                 3.6939,                 3.8249,                0.00356,                0.28571,                0.01534,                0.00499,                 3.6826,                 4.1828,                 4.1019,             0.00045861,             0.00045861,             0.00045861
                     33,                 3.3539,                 3.5297,                 3.8379,                0.00356,                0.28571,                0.01534,                0.00499,                 3.6826,                 4.1828,                 4.1019,             0.00044884,             0.00044884,             0.00044884
                     34,                 3.3161,                 3.4642,                 3.8239,                0.00362,                0.28571,                0.01328,                0.00355,                 3.6879,                 4.2168,                 4.1261,             0.00043325,             0.00043325,             0.00043325
                     35,                 3.3691,                 3.5501,                 3.7763,                0.00385,                0.28571,                0.01272,                0.00406,                  3.718,                 4.3092,                  4.197,              0.0004085,              0.0004085,              0.0004085
                     36,                 3.2351,                 3.4769,                 3.8393,                0.00336,                0.28571,                0.00929,                0.00315,                 3.6968,                 4.2705,                 4.1532,             0.00038375,             0.00038375,             0.00038375
                     37,                 3.3788,                 3.5924,                 3.7551,                0.00336,                0.28571,                0.00929,                0.00315,                 3.6968,                 4.2705,                 4.1532,               0.000359,               0.000359,               0.000359
                     38,                 3.2318,                 3.5178,                 3.7708,                0.00194,                0.30952,                0.00655,                 0.0018,                 3.7553,                 4.2132,                 3.9659,             0.00033425,             0.00033425,             0.00033425
                     39,                  3.269,                 3.5025,                   3.71,                 0.3362,                0.28571,                0.00709,                0.00166,                 3.8909,                 4.2206,                 3.8906,              0.0003095,              0.0003095,              0.0003095
                     40,                 3.2747,                  3.507,                 3.7631,                 0.0019,                0.28571,                0.03593,                 0.0063,                 3.8822,                  4.235,                 3.8749,             0.00028475,             0.00028475,             0.00028475
                     41,                 3.3023,                 4.0926,                 3.7025,                 0.0019,                0.28571,                0.03593,                 0.0063,                 3.8822,                  4.235,                 3.8749,                0.00026,                0.00026,                0.00026
                     42,                  3.037,                 3.9556,                  3.657,                0.00091,                 0.2619,                0.01968,                0.00508,                 3.8958,                 4.2093,                 3.8266,             0.00023525,             0.00023525,             0.00023525
                     43,                 3.0274,                 3.8422,                 3.6332,                0.00734,                0.28571,                 0.0233,                0.00515,                 3.9131,                  4.228,                 3.7822,              0.0002105,              0.0002105,              0.0002105
                     44,                 2.9377,                 3.8224,                  3.577,                 0.0038,                0.33333,                0.01882,                0.00441,                 3.8388,                 4.2155,                 3.7771,             0.00018575,             0.00018575,             0.00018575
                     45,                 3.0883,                 3.8519,                 3.6358,                 0.0038,                0.33333,                0.01882,                0.00441,                 3.8388,                 4.2155,                 3.7771,               0.000161,               0.000161,               0.000161
                     46,                 3.1243,                 3.8785,                 3.6119,                0.00234,                0.30952,                0.01541,                0.00457,                 3.7209,                 4.2194,                 3.7963,             0.00013625,             0.00013625,             0.00013625
                     47,                 3.0033,                 3.8875,                 3.6496,                0.00219,                0.30952,                0.01826,                0.00547,                 3.6311,                 4.2115,                 3.8224,              0.0001115,              0.0001115,              0.0001115
                     48,                  3.013,                 3.8008,                 3.5558,                0.00206,                 0.2619,                0.02213,                0.00643,                 3.5676,                 4.2201,                 3.8417,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 3.1338,                 3.9229,                 3.6404,                0.00206,                 0.2619,                0.02213,                0.00643,                 3.5676,                 4.2201,                 3.8417,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 3.0662,                 3.7849,                 3.5512,                0.00217,                 0.2619,                0.02294,                0.00538,                 3.5559,                 4.2248,                 3.8434,              3.725e-05,              3.725e-05,              3.725e-05
