                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6089,                 4.3046,                  4.292,                0.00234,                0.11966,                0.00191,                0.00076,                  3.284,                 4.3984,                 4.1586,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 3.4376,                 4.1773,                 4.2532,                0.00234,                0.11966,                0.00755,                0.00225,                 3.2835,                 4.4002,                 4.1571,             0.00018393,             0.00018393,             0.00018393
                      3,                  3.577,                 4.1467,                 4.2121,                0.00222,                0.11966,                0.03597,                0.00946,                 3.2845,                 4.3996,                 4.1532,             0.00028014,             0.00028014,             0.00028014
                      4,                 3.5434,                 4.0453,                 4.1752,                0.00153,                0.13675,                0.03948,                 0.0109,                 3.2862,                 4.3973,                 4.1486,             0.00037437,             0.00037437,             0.00037437
                      5,                 3.4747,                 3.9995,                 4.1428,                0.00121,                0.12821,                0.00542,                0.00132,                 3.2971,                 4.3909,                   4.14,             0.00046662,             0.00046662,             0.00046662
                      6,                 3.4703,                  3.923,                 4.1149,                0.00153,                0.14601,                0.00651,                0.00143,                 3.3278,                   4.37,                 4.1301,             0.00055689,             0.00055689,             0.00055689
                      7,                 3.4925,                 3.7573,                 4.0732,                0.00163,                0.15456,                0.00524,                0.00112,                  3.397,                 4.3701,                 4.1197,             0.00064518,             0.00064518,             0.00064518
                      8,                 3.4108,                 3.7588,                 4.0008,                0.00144,                 0.1453,                0.00312,                0.00082,                 3.3787,                 4.3815,                 4.1233,             0.00073148,             0.00073148,             0.00073148
                      9,                 3.3172,                 3.6085,                 3.9249,                0.00199,                0.15456,                0.01491,                0.00531,                 3.3934,                 4.3549,                 4.1386,             0.00081581,             0.00081581,             0.00081581
                     10,                 3.3143,                 3.5589,                 3.8554,                 0.0018,                0.11111,                0.02003,                0.00623,                 3.2913,                 4.3886,                 4.1912,             0.00089816,             0.00089816,             0.00089816
                     11,                 3.1895,                 3.4917,                 3.7814,                0.00176,                0.11966,                0.01486,                0.00551,                 3.2769,                 4.3875,                 4.2109,             0.00097852,             0.00097852,             0.00097852
                     12,                 3.2516,                 3.5096,                 3.7307,                0.00186,                0.15385,                0.01303,                0.00402,                 3.3204,                  4.443,                 4.2887,              0.0010569,              0.0010569,              0.0010569
                     13,                 3.1715,                 3.3371,                 3.5758,                0.00231,                0.13675,                0.01182,                0.00391,                 3.3998,                 4.4806,                 4.3403,              0.0011333,              0.0011333,              0.0011333
                     14,                 3.1883,                  3.311,                  3.523,                0.74878,                0.00855,                0.01192,                0.00332,                 3.3222,                 4.3596,                 4.2498,              0.0012077,              0.0012077,              0.0012077
                     15,                 3.1041,                  3.262,                 3.4222,                0.83407,                0.00855,                 0.0114,                 0.0024,                 3.2748,                 4.3582,                 4.1925,              0.0012309,              0.0012309,              0.0012309
                     16,                 3.0921,                 3.1888,                 3.3905,                0.84638,                0.01709,                0.02355,                0.00526,                 3.1761,                  4.172,                  4.089,              0.0012168,              0.0012168,              0.0012168
